Date,CPIAUCSL,PCE,PPIACO,ECIALLCIV,GDPDEF,UNRATE,MCUMFN,SP500
2019-01-01,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,
2019-01-02,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2510.03
2019-01-03,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2447.89
2019-01-04,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2531.94
2019-01-05,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2531.94
2019-01-06,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2531.94
2019-01-07,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2549.69
2019-01-08,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2574.41
2019-01-09,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2584.96
2019-01-10,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2596.64
2019-01-11,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2596.26
2019-01-12,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2596.26
2019-01-13,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2596.26
2019-01-14,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2582.61
2019-01-15,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2610.3
2019-01-16,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2616.1
2019-01-17,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2635.96
2019-01-18,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2670.71
2019-01-19,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2670.71
2019-01-20,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2670.71
2019-01-21,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2670.71
2019-01-22,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2632.9
2019-01-23,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2638.7
2019-01-24,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2642.33
2019-01-25,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2664.76
2019-01-26,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2664.76
2019-01-27,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2664.76
2019-01-28,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2643.85
2019-01-29,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2640.0
2019-01-30,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2681.05
2019-01-31,252.561,14084.6,199.1,136.1,103.328,4.0,78.2051,2704.1
2019-02-01,253.319,14117.4,199.2,136.1,103.328,3.8,77.7895,2706.53
